Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,1228179053002,0,1228183163834,368,1228188247248,15
1,1231196070634,0,1231200121706,168,1231204661496,68
2,1234212128106,0,1234216125242,184,1234221027088,59
3,1237228951850,0,1237233132346,392,1237237974576,181
4,1240245717338,0,1240249724746,216,1240254367520,88
5,1243261859098,0,1243265712778,184,1243270554248,155
6,1246278015514,0,1246281952394,248,1246286675080,22
7,1249294293930,0,1249298379914,360,1249303401112,31
8,1252310937386,0,1252316268794,24,1252321557616,123
9,1255329499402,0,1255334496202,160,1255339333064,196
10,1258346860010,0,1258350858666,152,1258355704176,96
11,1261363227578,0,1261368395274,512,1261373556080,160
12,1264381028842,0,1264385225610,40,1264391429368,20
13,1267399237770,0,1267403683354,128,1267408544240,189
14,1270416341930,0,1270420489594,40,1270425434352,194
15,1273432845050,0,1273436986938,312,1273441763704,113
16,1276449424346,0,1276453412266,480,1276458157464,125
17,1279465898298,0,1279470087546,456,1279475057688,80
18,1282482417690,0,1282486655658,128,1282491660880,79
19,1285499323642,0,1285503531322,216,1285508384432,3
