Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,856275444394,0,856279313658,392,856284088568,45
1,859291918890,0,859296006314,256,859300697784,60
2,862308358330,0,862313200810,160,862317997184,64
3,865325862186,0,865330000858,88,865334732616,11
4,868342539258,0,868346738570,40,868351435920,58
5,871359568426,0,871363683834,192,871368570232,110
6,874376329754,0,874380511850,344,874385260144,209
7,877393030058,0,877397362442,184,877402211224,107
8,880410138042,0,880414315306,168,880419217768,123
9,883427277386,0,883431471098,128,883436387568,75
10,886445355866,0,886449243914,136,886454188928,257
11,889462406698,0,889466503322,832,889471486272,149
12,892479057354,0,892483216618,48,892488178816,67
13,895495920282,0,895500069626,88,895505061464,61
14,898512686570,0,898516790826,280,898521497944,86
15,901529942058,0,901534032202,32,901539189136,9
16,904546826058,0,904550569466,104,904555330576,102
17,907562908698,0,907566715530,384,907572211192,52
18,910579819738,0,910583970090,376,910588886320,68
19,913596338714,0,913600778682,512,913605631256,228
