Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,1526591463722,0,1526595233738,112,1526600064792,118
1,1529607580666,0,1529611875002,24,1529618379232,138
2,1532625951050,0,1532630389466,64,1532635382656,26
3,1535643833754,0,1535648850906,64,1535654301728,129
4,1538661733834,0,1538665892986,112,1538670818008,20
5,1541678523130,0,1541684064298,368,1541689032272,106
6,1544696746570,0,1544702592954,352,1544707551888,121
7,1547715076506,0,1547719308186,352,1547724140976,21
8,1550731741018,0,1550735899914,336,1550740885864,6
9,1553748439050,0,1553752423530,888,1553757260640,71
10,1556765149562,0,1556769885050,1072,1556774828216,13
11,1559782407050,0,1559786390154,32,1559791146184,208
12,1562798775098,0,1562803055642,472,1562809076040,13
13,1565816835066,0,1565822760346,296,1565827669520,19
14,1568835635834,0,1568839904570,208,1568844851176,82
15,1571853036458,0,1571857253930,248,1571862046704,116
16,1574869952682,0,1574875624218,280,1574880449784,168
17,1577888181642,0,1577892432714,760,1577897329832,11
18,1580905607642,0,1580910175642,488,1580915027184,21
19,1583922674042,0,1583926680250,136,1583931514552,101
