Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,963539134410,0,963543142410,208,963547934320,167
1,966555391706,0,966559244938,96,966564136272,148
2,969572873642,0,969576672186,928,969584528072,93
3,972592047994,0,972596113642,48,972600781480,40
4,975608167066,0,975612180746,152,975616822000,173
5,978624593930,0,978628638074,112,978633595176,68
6,981641875018,0,981646018618,128,981650823400,1
7,984658585978,0,984663443706,72,984668402560,230
8,987676106362,0,987680092922,136,987684904520,138
9,990692890138,0,990696999658,144,990702149616,118
10,993710600058,0,993714538666,176,993719380872,93
11,996727064810,0,996731328602,488,996736782072,75
12,999745059866,0,999748967562,152,999754012392,27
13,1002762285994,0,1002766234938,216,1002771026128,4
14,1005778755562,0,1005782633690,32,1005787459136,5
15,1008795064826,0,1008799069114,240,1008804844960,68
16,1011813381194,0,1011817467498,8,1011822256624,20
17,1014829998794,0,1014834297258,64,1014839725328,155
18,1017847346394,0,1017851356218,640,1017856549992,13
19,1020864350074,0,1020869393946,248,1020874281704,1
