Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,6889042376140,322,6889046053714,0,6889050541368,18
1,6892057771084,410,6892061622898,0,6892066323424,25
2,6895074336908,214,6895079575570,0,6895084600096,63
3,6898092678876,238,6898098645522,0,6898103373632,38
4,6901111224876,394,6901117385554,0,6901122026040,27
5,6904130056428,442,6904134450482,0,6904139029512,106
6,6907146915756,206,6907152642434,0,6907157352584,105
7,6910165262524,294,6910170214946,0,6910175064056,78
8,6913182721628,566,6913186501794,0,6913191039624,60
9,6916198743660,318,6916204045666,0,6916208706136,10
10,6919216382796,158,6919221992978,0,6919226821024,31
11,6922234536428,202,6922240681634,0,6922245507528,94
12,6925252949388,146,6925256757842,0,6925261440440,5
13,6928269144332,246,6928274920098,0,6928279525472,2
14,6931287092556,34,6931293347410,0,6931298307272,53
15,6934306027804,694,6934311668386,0,6934316322304,52
16,6937324510636,238,6937330040642,0,6937334737768,2
17,6940342474972,258,6940347844274,0,6940353007120,63
18,6943362193852,238,6943367965074,0,6943372637512,70
19,6946380607404,374,6946386265506,0,6946390986264,146
