Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,1852205785058,890,1852210472504,659,1852218035240,0
1,1852221868306,890,1852226579704,659,1855246663512,0
2,1855234394162,282,1855239157904,265,1858277632632,0
3,1855251840946,282,1855256510104,265,1861309804888,0
4,1858264126242,238,1858269295536,230,1864340401400,0
5,1858282405650,238,1858287647336,230,1867370852712,0
6,1861295495138,118,1861302450352,191,1870402619928,0
7,1861313544562,118,1861318362952,191,1873431175912,0
8,1864326166226,206,1864332800872,18,1876460297160,0
9,1864344179474,206,1864349559272,18,1879490684728,0
10,1867357105090,446,1867362554080,29,1882519904872,0
11,1867374792674,446,1867379476880,29,,
12,1870387950882,262,1870395120928,126,,
13,1870406523570,262,1870411222928,126,,
14,1873418845954,586,1873423827232,6,,
15,1873435195442,586,1873440226432,6,,
16,1876447852674,30,1876453006776,88,,
17,1876464180578,30,1876468883176,88,,
18,1879476683586,310,1879483224656,100,,
19,1879494576930,310,1879499320456,100,,
20,1882507697010,58,1882512508296,198,,
21,1882523854274,58,1882528715496,198,,
