Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns
0,3091334741268,0,3091339713304,340,3091348464562,174
1,3094352878532,0,3094359300992,176,3094366617698,342
2,3097370643172,0,3097375620480,664,3097383117618,354
3,3100387117268,0,3100392970800,512,3100400519090,14
4,3103404553668,0,3103409572776,65,3103417162850,698
5,3106421717268,0,3106428391064,55,3106436404354,338
6,3109440365444,0,3109445201632,1,3109452784258,542
7,3112456708820,0,3112462869160,14,3112470455554,102
8,3115474792116,0,3115481591880,38,3115489049714,438
9,3118493236132,0,3118498300736,10,3118505692530,166
10,3121509644964,0,3121514595600,24,3121522086354,294
11,3124526071556,0,3124531197856,90,3124538537378,602
12,3127543093748,0,3127548141432,45,3127555940402,542
13,3130560006900,0,3130565236552,49,3130572640818,134
14,3133578115012,0,3133584556520,46,3133592451442,138
15,3136598116388,0,3136603236384,42,3136611209058,154
16,3139615243956,0,3139620336944,95,3139627738882,62
17,3142631972404,0,3142637439024,57,3142644828002,70
18,3145648946532,0,3145655974912,212,3145663538370,62
19,3148667738340,0,3148672796504,55,3148680189090,362
